sku_type_id,sku_supplier_id,sku_internal_code,sku_code,sku_origin,sku_size_d,sku_size_w,sku_size_h,sku_shape_id,sku_colour_id,sku_weight
12,0c839676-432c-4947-83c9-89d47d00e731,,1/98681,,1.4,3.4,,13,,0.28
12,0c839676-432c-4947-83c9-89d47d00e731,,100J7-0076,,,,,16,,1
12,9fd8d18d-4661-441d-90a3-1bc1fce855a0,,112H6-1748,,,,,16,,1.12
12,0c839676-432c-4947-83c9-89d47d00e731,,16/01/15123/24,,3.7,3.75,,16,,0.42
12,9fd8d18d-4661-441d-90a3-1bc1fce855a0,,30E5-9613,,,,,16,,0.3
12,9fd8d18d-4661-441d-90a3-1bc1fce855a0,,30E6-0914,,,,,16,,0.3
12,9fd8d18d-4661-441d-90a3-1bc1fce855a0,,30E6-3697,,,,,16,,0.3
12,0c839676-432c-4947-83c9-89d47d00e731,,30F6-1215,,,,,16,,0.3
12,0c839676-432c-4947-83c9-89d47d00e731,,30F7-9989,,,,,16,,0.3
12,9fd8d18d-4661-441d-90a3-1bc1fce855a0,,30G7-5752,,,,,16,,0.3
12,9fd8d18d-4661-441d-90a3-1bc1fce855a0,,31E5-3210,,,,,16,,0.31
12,0c839676-432c-4947-83c9-89d47d00e731,,31E5-6489,,,,,16,,0.31
12,9fd8d18d-4661-441d-90a3-1bc1fce855a0,,40E5-0004,,,,,16,,0.4
12,9fd8d18d-4661-441d-90a3-1bc1fce855a0,,40E5-0046,,,,,16,,0.4
12,9fd8d18d-4661-441d-90a3-1bc1fce855a0,,40E5-0787,,,,,16,,0.4
12,9fd8d18d-4661-441d-90a3-1bc1fce855a0,,40E5-0963,,,,,16,,0.4
12,9fd8d18d-4661-441d-90a3-1bc1fce855a0,,40E5-1091,,,,,16,,0.4
12,9fd8d18d-4661-441d-90a3-1bc1fce855a0,,40E5-2816,,,,,16,,0.4
12,9fd8d18d-4661-441d-90a3-1bc1fce855a0,,40E5-3019,,,,,16,,0.4
12,9fd8d18d-4661-441d-90a3-1bc1fce855a0,,40E5-5629,,,,,16,,0.4
12,9fd8d18d-4661-441d-90a3-1bc1fce855a0,,40E5-6248,,,,,16,,0.4
12,9fd8d18d-4661-441d-90a3-1bc1fce855a0,,40E5-8273,,,,,16,,0.4
12,9fd8d18d-4661-441d-90a3-1bc1fce855a0,,40E5-8720,,,,,16,,0.4
12,9fd8d18d-4661-441d-90a3-1bc1fce855a0,,40E5-9298,,,,,16,,0.4
12,9fd8d18d-4661-441d-90a3-1bc1fce855a0,,40E6-2514,,,,,16,,0.4
12,9fd8d18d-4661-441d-90a3-1bc1fce855a0,,40E6-2968,,,,,16,,0.4
12,9fd8d18d-4661-441d-90a3-1bc1fce855a0,,40E6-3069,,,,,16,,0.4
12,9fd8d18d-4661-441d-90a3-1bc1fce855a0,,40E6-7793,,,,,16,,0.4
12,9fd8d18d-4661-441d-90a3-1bc1fce855a0,,40E7-8824,,,,,16,,0.4
12,9fd8d18d-4661-441d-90a3-1bc1fce855a0,,40E7-9921,,,,,16,,0.4
12,9fd8d18d-4661-441d-90a3-1bc1fce855a0,,40F5-5416,,,,,16,,0.4
12,9fd8d18d-4661-441d-90a3-1bc1fce855a0,,40F6-8935,,,,,16,,0.4
12,9fd8d18d-4661-441d-90a3-1bc1fce855a0,,40F6-9256,,,,,16,,0.4
12,9fd8d18d-4661-441d-90a3-1bc1fce855a0,,40F6-9630,,,,,16,,0.4
12,9fd8d18d-4661-441d-90a3-1bc1fce855a0,,40F6-9847,,,,,16,,0.4
12,9fd8d18d-4661-441d-90a3-1bc1fce855a0,,40F7-3720,,,,,16,,0.4
12,9fd8d18d-4661-441d-90a3-1bc1fce855a0,,40G5-1432,,,,,16,,0.4
12,0c839676-432c-4947-83c9-89d47d00e731,,5/183149,,,,,13,,0.21
12,0c839676-432c-4947-83c9-89d47d00e731,,5/183804,,,,,13,,0.16
12,0c839676-432c-4947-83c9-89d47d00e731,,5/186407,,2.1,,,15,,0.09
12,0c839676-432c-4947-83c9-89d47d00e731,,5/186969,,1.2,,,15,,0.08
12,0c839676-432c-4947-83c9-89d47d00e731,,5/186969,,1.3,,,15,,0.15
12,0c839676-432c-4947-83c9-89d47d00e731,,5/186969,,1.4,,,15,,0.16
12,0c839676-432c-4947-83c9-89d47d00e731,,5/186969,,1.5,,,15,,0.25
12,0c839676-432c-4947-83c9-89d47d00e731,,5/186969,,1.9,,,15,,0.11
12,0c839676-432c-4947-83c9-89d47d00e731,,5/186969,,2,,,15,,0.13
12,0c839676-432c-4947-83c9-89d47d00e731,,5/191906,,2,,,16,5,0.04
12,0c839676-432c-4947-83c9-89d47d00e731,,5/193160,,1,1.1,,15,,
12,9fd8d18d-4661-441d-90a3-1bc1fce855a0,,50E5-3717,,,,,16,,0.5
12,9fd8d18d-4661-441d-90a3-1bc1fce855a0,,50E5-6046,,,,,16,,0.5
12,9fd8d18d-4661-441d-90a3-1bc1fce855a0,,50E5-6469,,,,,16,,0.5
12,9fd8d18d-4661-441d-90a3-1bc1fce855a0,,50E5-8093,,,,,16,,0.5
12,9fd8d18d-4661-441d-90a3-1bc1fce855a0,,50F5-1049,,,,,16,,0.5
12,9fd8d18d-4661-441d-90a3-1bc1fce855a0,,50F5-1676,,,,,16,,0.5
12,9fd8d18d-4661-441d-90a3-1bc1fce855a0,,50F6-1608,,,,,16,,0.5
12,9fd8d18d-4661-441d-90a3-1bc1fce855a0,,50F6-9421,,,,,16,,0.5
12,9fd8d18d-4661-441d-90a3-1bc1fce855a0,,50G5-6051,,,,,16,,0.5
12,9fd8d18d-4661-441d-90a3-1bc1fce855a0,,50G6-3156,,,,,16,,0.5
12,9fd8d18d-4661-441d-90a3-1bc1fce855a0,,50G6-4326,,,,,16,,0.5
12,9fd8d18d-4661-441d-90a3-1bc1fce855a0,,50G6-4405,,,,,16,,0.5
12,9fd8d18d-4661-441d-90a3-1bc1fce855a0,,50G7-4995,,,,,16,,0.5
12,9fd8d18d-4661-441d-90a3-1bc1fce855a0,,50G7-5911,,,,,16,,0.5
12,0c839676-432c-4947-83c9-89d47d00e731,,50J7-5671,,,,,16,,0.5
12,0c839676-432c-4947-83c9-89d47d00e731,,50TR-5378,,,,,16,,0.5
12,9fd8d18d-4661-441d-90a3-1bc1fce855a0,,51E6-0884,,,,,16,,0.51
12,9fd8d18d-4661-441d-90a3-1bc1fce855a0,,51G5-6844,,,,,16,,0.51
12,0c839676-432c-4947-83c9-89d47d00e731,,51H6-5644,,,,,16,,0.51
12,9fd8d18d-4661-441d-90a3-1bc1fce855a0,,54E5-1345,,,,,16,,0.54
12,0c839676-432c-4947-83c9-89d47d00e731,,70I6-8181,,,,,16,,0.7
12,0c839676-432c-4947-83c9-89d47d00e731,,83/20040,,4,4,,16,,0.25
12,0c839676-432c-4947-83c9-89d47d00e731,,D1059,,2.2,2.2,,7,,0.02
12,0c839676-432c-4947-83c9-89d47d00e731,,D1104,,2.4,2.4,,7,,0.42
12,0c839676-432c-4947-83c9-89d47d00e731,,D1179,,1.8,1.8,,7,,0.02
12,0c839676-432c-4947-83c9-89d47d00e731,,D1276,,2,2.4,,16,,3.26
12,0c839676-432c-4947-83c9-89d47d00e731,,D1347,,2,1,,7,,0.02
12,0c839676-432c-4947-83c9-89d47d00e731,,D1465,,1.3,1.5,,16,,0.05
12,0c839676-432c-4947-83c9-89d47d00e731,,D1568,,0.5,0.6,,15,,0.03
12,0c839676-432c-4947-83c9-89d47d00e731,,D1571,,1.1,1.1,,16,5,
12,0c839676-432c-4947-83c9-89d47d00e731,,D1573,,1.6,1.6,,16,5,0.14
12,0c839676-432c-4947-83c9-89d47d00e731,,D1576,,1.8,1.8,,16,5,0.2
12,0c839676-432c-4947-83c9-89d47d00e731,,D1578,,2.1,2.1,,16,5,0.08
12,0c839676-432c-4947-83c9-89d47d00e731,,D1579,,2.2,2.2,,16,5,0.44
12,0c839676-432c-4947-83c9-89d47d00e731,,D1580,,2.3,2.3,,16,5,0.52
12,0c839676-432c-4947-83c9-89d47d00e731,,D1583,,2.6,2.6,,16,5,0.28
12,0c839676-432c-4947-83c9-89d47d00e731,,D1584,,2.8,2.8,,16,5,0.55
12,0c839676-432c-4947-83c9-89d47d00e731,,D1585,,2.9,2.9,,16,5,0.48
