sku_type,sku_supplier,sku_code,,sku_origin,sku_size_d,sku_size_w,sku_size_h,sku_shape,sku_color,sku_weight,sku_image
12,,D1568,,,0.5,0.6,,88,,0.03,
12,,D1571,,,1.1,,,RD,BLK,,
12,,D1573,,,1.6,,,RD,BLK,0.14,
12,,D1576,,,1.8,,,RD,BLK,0.2,
12,,D1578,,,2.1,,,RD,BLK,0.08,
12,,D1579,,,2.2,,,RD,BLK,0.44,
12,,D1580,,,2.3,,,RD,BLK,0.52,
12,,D1583,,,2.6,,,RD,BLK,0.28,
12,,D1584,,,2.8,,,RD,BLK,0.55,
12,,D1585,,,2.9,,,RD,BLK,0.48,
12,,D1586,,,3,3.1,,RD,BLK,1.55,
12,,D16,,,1.5,2.35,,RD,,0.67,
12,,D1608,,,2.5,1,1,BG,,0.08,
12,,D1624,,,1.25,1.3,,RD,OBL,0.13,
12,,D1624,,,1.75,1.8,,RD,OBL,0.11,
12,,D1624,,,2.25,2.3,,RD,OBL,0.09,
12,,D1626,,,1.5,1.7,,PC,,0.35,
12,,D1631,,,1.5,1.65,,PC,,0.2,
12,,D1631,,,1.6,1.7,,PC,,0.2,
12,,D1632,,,1.6,1.7,,PC,,0.18,
12,,D1633,,,2.3,,,PC,,0.12,
12,9fd8d18d-4661-441d-90a3-1bc1fce855a0,D1635,,,0.8,,,RD,,0.31,
12,9fd8d18d-4661-441d-90a3-1bc1fce855a0,D1635,,,0.6,0.9,,RD,,0.1,
12,9fd8d18d-4661-441d-90a3-1bc1fce855a0,D1647,,,5.5,,,RD,,0.7,
12,,D1660,,,1.6,,,RD,,0.28,
12,,D1690,,,3.4,3.7,,OC,,0.2,
12,,D1692,,,4.5,2,,BG,,0.18,
12,,D1698,,,1.6,,,88,,0.04,
12,,,,,2.1,2.1,,OC,,0.27,
12,,,,,4.7,4.8,,OC,,0.51,
12,,D1698,,,,,,TR,,0.02,
12,,D1698,,,2.1,,,RD,,0.03,
12,,D1698A,,,3.2,3.6,,OC,,0.19,
12,,D1704,,,1.7,1.75,,RD,,0.93,
12,,D1705,,,2.2,2.25,,RD,,0.53,
12,,D1706,,,2.3,2.35,,RD,,0.04,
12,b40c45ff-b91b-4954-88b2-65360dbaabf1,D1739,,,4.4,4.5,,RD,,0.32,
12,b40c45ff-b91b-4954-88b2-65360dbaabf1,D1743,,,1.3,,,RD,BLK,0.53,
12,b40c45ff-b91b-4954-88b2-65360dbaabf1,D1745,,,4,2,,BG,,0.15,
12,b40c45ff-b91b-4954-88b2-65360dbaabf1,D1746,,,1.2,,,RD,BLK,0.47,
12,b40c45ff-b91b-4954-88b2-65360dbaabf1,D1748,,,1.4,,,RD,BLK,0.54,
12,de95cb8b-66d8-40dc-b174-0b9b79ebae4f,D1766,,,2.5,2.7,,PC,,0.31,
12,de95cb8b-66d8-40dc-b174-0b9b79ebae4f,D1770,,,3.65,3.7,,PC,,0.29,
12,b40c45ff-b91b-4954-88b2-65360dbaabf1,D1797,,,2.4,,,RD,BLK,0.51,
12,b40c45ff-b91b-4954-88b2-65360dbaabf1,D1798,,,2.5,,,RD,BLK,0.48,
12,b40c45ff-b91b-4954-88b2-65360dbaabf1,D1804,,,1.8,1.85,,RD,,0.77,
12,b40c45ff-b91b-4954-88b2-65360dbaabf1,D1811,,,2.1,,,RD,,0.12,
12,,D1844,,,5,,,RD,,1.54,
12,de95cb8b-66d8-40dc-b174-0b9b79ebae4f,D1845,,,1,1.2,,RD,,0.17,
12,de95cb8b-66d8-40dc-b174-0b9b79ebae4f,D1846,,,1.3,1.5,,RD,,0.66,
12,de95cb8b-66d8-40dc-b174-0b9b79ebae4f,D1846,,,1.6,1.8,,RD,,0.41,
12,de95cb8b-66d8-40dc-b174-0b9b79ebae4f,D1847,,,2.3,2.7,,RD,,0.04,
12,9fd8d18d-4661-441d-90a3-1bc1fce855a0,D1848,,,2.8,3.2,,RD,,0.89,
12,9fd8d18d-4661-441d-90a3-1bc1fce855a0,D1849,,,3.3,3.5,,RD,,0.4,
12,9fd8d18d-4661-441d-90a3-1bc1fce855a0,D1850,,,3.6,3.8,,RD,,0.58,
12,9fd8d18d-4661-441d-90a3-1bc1fce855a0,D1853,,,3.23,3.25,,RD,,1.06,
12,9fd8d18d-4661-441d-90a3-1bc1fce855a0,D1853,,,3.3,,,RD,,0.82,
12,9fd8d18d-4661-441d-90a3-1bc1fce855a0,D1854,,,3.6,,,RD,,1.65,
12,9fd8d18d-4661-441d-90a3-1bc1fce855a0,D1854,,,3.7,,,RD,,0.18,
