sku_type_id,sku_supplier_id,sku_internal_code,sku_code,sku_origin,sku_size_d,sku_size_w,sku_size_h,sku_shape_id,sku_colour_id,sku_weight
12,7c767960-95dd-4b91-8f4a-0141bc0605b9,,50G7-4995,,0,0,0,16,,0.5
12,7c767960-95dd-4b91-8f4a-0141bc0605b9,,50G7-5911,,0,0,0,16,,0.5
12,0368a7f2-ab38-42a3-814e-5e58b7bfd9d9,,50J7-5671,,0,0,0,16,,0.5
12,0368a7f2-ab38-42a3-814e-5e58b7bfd9d9,,50TR-5378,,0,0,0,16,,0.5
12,7c767960-95dd-4b91-8f4a-0141bc0605b9,,51E6-0884,,0,0,0,16,,0.51
12,7c767960-95dd-4b91-8f4a-0141bc0605b9,,51G5-6844,,0,0,0,16,,0.51
12,0368a7f2-ab38-42a3-814e-5e58b7bfd9d9,,51H6-5644,,0,0,0,16,,0.51
12,7c767960-95dd-4b91-8f4a-0141bc0605b9,,54E5-1345,,0,0,0,16,,0.54
12,0368a7f2-ab38-42a3-814e-5e58b7bfd9d9,,70I6-8181,,0,0,0,16,,0.7
12,0368a7f2-ab38-42a3-814e-5e58b7bfd9d9,,83/20040,,4,4,0,16,,0.25
12,0368a7f2-ab38-42a3-814e-5e58b7bfd9d9,,D1059,,2.2,2.2,0,7,,0.02
12,0368a7f2-ab38-42a3-814e-5e58b7bfd9d9,,D1104,,2.4,2.4,0,7,,0.42
12,0368a7f2-ab38-42a3-814e-5e58b7bfd9d9,,D1179,,1.8,1.8,0,7,,0.02
12,0368a7f2-ab38-42a3-814e-5e58b7bfd9d9,,D1276,,2,2.4,0,16,,3.26
12,0368a7f2-ab38-42a3-814e-5e58b7bfd9d9,,D1347,,2,1,0,7,,0.02
12,0368a7f2-ab38-42a3-814e-5e58b7bfd9d9,,D1465,,1.3,1.5,0,16,,0.05
12,0368a7f2-ab38-42a3-814e-5e58b7bfd9d9,,D1568,,0.5,0.6,0,15,,0.03
12,0368a7f2-ab38-42a3-814e-5e58b7bfd9d9,,D1571,,1.1,1.1,0,16,5,0
12,0368a7f2-ab38-42a3-814e-5e58b7bfd9d9,,D1573,,1.6,1.6,0,16,5,0.14
12,0368a7f2-ab38-42a3-814e-5e58b7bfd9d9,,D1576,,1.8,1.8,0,16,5,0.2
12,0368a7f2-ab38-42a3-814e-5e58b7bfd9d9,,D1578,,2.1,2.1,0,16,5,0.08
12,0368a7f2-ab38-42a3-814e-5e58b7bfd9d9,,D1579,,2.2,2.2,0,16,5,0.44
12,0368a7f2-ab38-42a3-814e-5e58b7bfd9d9,,D1580,,2.3,2.3,0,16,5,0.52
12,0368a7f2-ab38-42a3-814e-5e58b7bfd9d9,,D1583,,2.6,2.6,0,16,5,0.28
12,0368a7f2-ab38-42a3-814e-5e58b7bfd9d9,,D1584,,2.8,2.8,0,16,5,0.55
12,0368a7f2-ab38-42a3-814e-5e58b7bfd9d9,,D1585,,2.9,2.9,0,16,5,0.48
12,0368a7f2-ab38-42a3-814e-5e58b7bfd9d9,,D1586,,3,3.1,0,16,5,1.55
12,0368a7f2-ab38-42a3-814e-5e58b7bfd9d9,,D16,,1.5,2.35,0,16,,0.67
12,0368a7f2-ab38-42a3-814e-5e58b7bfd9d9,,D1608,,2.5,1,1,7,,0.08
12,0368a7f2-ab38-42a3-814e-5e58b7bfd9d9,,D1624,,1.25,1.3,0,16,7,0.13
12,0368a7f2-ab38-42a3-814e-5e58b7bfd9d9,,D1624,,1.75,1.8,0,16,7,0.11
12,0368a7f2-ab38-42a3-814e-5e58b7bfd9d9,,D1624,,2.25,2.3,0,16,7,0.09
12,0368a7f2-ab38-42a3-814e-5e58b7bfd9d9,,D1626,,1.5,1.7,0,14,,0.35
12,0368a7f2-ab38-42a3-814e-5e58b7bfd9d9,,D1631,,1.5,1.65,0,14,,0.2
12,0368a7f2-ab38-42a3-814e-5e58b7bfd9d9,,D1631,,1.6,1.7,0,14,,0.2
12,0368a7f2-ab38-42a3-814e-5e58b7bfd9d9,,D1632,,1.6,1.7,0,14,,0.18
12,0368a7f2-ab38-42a3-814e-5e58b7bfd9d9,,D1633,,2.3,2.3,0,14,,0.12
12,7c767960-95dd-4b91-8f4a-0141bc0605b9,,D1635,,0.8,0.8,0,16,,0.31
12,7c767960-95dd-4b91-8f4a-0141bc0605b9,,D1635,,0.6,0.6,0,16,,0.1
12,7c767960-95dd-4b91-8f4a-0141bc0605b9,,D1647,,5.5,5.5,0,1.2,,0.7
12,0368a7f2-ab38-42a3-814e-5e58b7bfd9d9,,D1660,,1.6,1.6,0,1.3,,0.28
12,0368a7f2-ab38-42a3-814e-5e58b7bfd9d9,,D1690,,3.4,3.7,0,1.4,,0.2
12,0368a7f2-ab38-42a3-814e-5e58b7bfd9d9,,D1692,,4.5,2,0,1.5,,0.18
12,0368a7f2-ab38-42a3-814e-5e58b7bfd9d9,,D1698,,1.6,1.6,0,1.9,,0.04
12,0368a7f2-ab38-42a3-814e-5e58b7bfd9d9,,,,2.1,2.6,0,2,,0.27
12,0368a7f2-ab38-42a3-814e-5e58b7bfd9d9,,,,4.7,4.8,0,2,,0.51
12,0368a7f2-ab38-42a3-814e-5e58b7bfd9d9,,D1698,,0,0,0,1,,0.02
12,0368a7f2-ab38-42a3-814e-5e58b7bfd9d9,,D1698,,2.1,2.1,0,16,,0.03
12,0368a7f2-ab38-42a3-814e-5e58b7bfd9d9,,D1698A,,3,3.6,0,13,,0.19
12,0368a7f2-ab38-42a3-814e-5e58b7bfd9d9,,D1704,,1.7,1.75,0,16,,0.93
12,0368a7f2-ab38-42a3-814e-5e58b7bfd9d9,,D1705,,2.2,2.25,0,16,,0.53
12,0368a7f2-ab38-42a3-814e-5e58b7bfd9d9,,D1706,,2.3,2.35,0,16,,0.04
12,5cad07d9-6cc7-4c3b-9e79-8830e20c48eb,,D1739,,4.4,4.5,0,16,,0.32
12,5cad07d9-6cc7-4c3b-9e79-8830e20c48eb,,D1743,,1.3,1.3,0,16,5,0.53
12,5cad07d9-6cc7-4c3b-9e79-8830e20c48eb,,D1745,,4,2,4,7,,0.15
12,5cad07d9-6cc7-4c3b-9e79-8830e20c48eb,,D1746,,1.2,1.2,0,16,5,0.47
12,5cad07d9-6cc7-4c3b-9e79-8830e20c48eb,,D1748,,1.4,1.4,0,16,5,0.54
12,3dd001cc-bb56-445e-8e99-04749256c593,,D1766,,2.5,2.7,0,14,,0.31
12,3dd001cc-bb56-445e-8e99-04749256c593,,D1770,,3.65,3.7,0,14,,0.29
12,5cad07d9-6cc7-4c3b-9e79-8830e20c48eb,,D1797,,2.4,2.4,0,16,5,0.51
12,5cad07d9-6cc7-4c3b-9e79-8830e20c48eb,,D1798,,2.5,2.5,0,16,5,0.48
12,5cad07d9-6cc7-4c3b-9e79-8830e20c48eb,,D1804,,1.8,1.85,0,16,,0.77
12,5cad07d9-6cc7-4c3b-9e79-8830e20c48eb,,D1811,,2.1,2.1,0,16,,0.12
12,0368a7f2-ab38-42a3-814e-5e58b7bfd9d9,,D1844,,5,5,0,16,,1.54
12,5cad07d9-6cc7-4c3b-9e79-8830e20c48eb,,D1845,,1,1.2,0,16,,0.17
12,5cad07d9-6cc7-4c3b-9e79-8830e20c48eb,,D1846,,1.3,1.5,0,16,,0.66
